,R总对数,R,距离r,距离r的平方
0,2084.0,0.9606615948274047,1.0,1.0
1,1888.0,0.9396323908257276,2.0,4.0
2,1504.0,0.9122722231201817,2.8284271247461903,8.0
3,1692.0,0.9125241952152354,3.0,9.0
4,2624.0,0.8948355037640879,3.605551275463989,13.0
5,1496.0,0.8783127825731076,4.0,16.0
6,2240.0,0.8714204806287226,4.47213595499958,20.0
7,1300.0,0.8476645392012129,5.0,25.0
8,1856.0,0.8426724137931303,5.385164807134504,29.0
9,744.0,0.8547414044754702,5.656854249492381,32.0
10,1840.0,0.782620204776793,6.082762530298219,37.0
11,1472.0,0.7853568002599509,6.324555320336759,40.0
12,1112.0,0.8380180675887459,6.4031242374328485,41.0
13,1104.0,0.7898415113247047,6.708203932499369,45.0
14,736.0,0.7933758831914735,7.211102550927978,52.0
15,368.0,0.8042078430133868,7.810249675906654,61.0
16,1820.0,0.7186888412310534,8.06225774829855,65.0
17,1456.0,0.7198070763651062,8.246211251235321,68.0
18,1092.0,0.7215936819241286,8.54400374531753,73.0
19,728.0,0.7251668930421854,8.94427190999916,80.0
20,364.0,0.7361178853896139,9.433981132056603,89.0
21,1800.0,0.6488921173916471,10.04987562112089,101.0
22,1440.0,0.650022777360531,10.198039027185569,104.0
23,1080.0,0.6518292340924324,10.44030650891055,109.0
24,720.0,0.655442147556245,10.770329614269007,116.0
25,360.0,0.6665148175964243,11.180339887498949,125.0
26,1780.0,0.5955053413014179,12.041594578792296,145.0
27,1424.0,0.5955250544740613,12.165525060596439,148.0
28,1068.0,0.5954790570712173,12.36931687685298,153.0
29,712.0,0.5953870622655325,12.649110640673518,160.0
30,356.0,0.5953476359202405,13.0,169.0
31,1760.0,0.5227225157846511,14.035668847618199,197.0
32,1408.0,0.5227424529706217,14.142135623730951,200.0
33,1056.0,0.5226959328700187,14.317821063276353,205.0
34,704.0,0.5226028926688123,14.560219778561036,212.0
35,352.0,0.5225630182968711,14.866068747318506,221.0
36,1740.0,0.44826652186519994,16.0312195418814,257.0
37,1392.0,0.4482866882142279,16.1245154965971,260.0
38,1044.0,0.44823963339982437,16.278820596099706,265.0
39,696.0,0.4481455237710206,16.492422502470642,272.0
40,348.0,0.4481051910729666,16.76305461424021,281.0
41,1720.0,0.3720789932034404,18.027756377319946,325.0
42,1376.0,0.37209939404489695,18.110770276274835,328.0
43,1032.0,0.3720517920814854,18.24828759089466,333.0
44,688.0,0.3719565881546753,18.439088914585774,340.0
45,344.0,0.37191578647176066,18.681541692269406,349.0
46,1700.0,0.2940988168084579,20.024984394500787,401.0
47,1360.0,0.29411945765981035,20.09975124224178,404.0
48,1020.0,0.29407129567330587,20.223748416156685,409.0
49,680.0,0.2939749717002999,20.396078054371138,416.0
50,340.0,0.29393368999758573,20.615528128088304,425.0
51,1680.0,0.21426196954692392,22.02271554554524,485.0
52,1344.0,0.21428285612270392,22.090722034374522,488.0
53,1008.0,0.21423412077921844,22.20360331117452,493.0
54,672.0,0.21413665009224775,22.360679774997898,500.0
55,336.0,0.21409487694069088,22.561028345356956,509.0
56,1660.0,0.13250134283331308,24.020824298928627,577.0
57,1328.0,0.13252248105458633,24.08318915758459,580.0
58,996.0,0.13247315853828806,24.186773244895647,585.0
59,664.0,0.13237451350568955,24.331050121192877,592.0
60,332.0,0.13233223706314795,24.515301344262525,601.0
61,1640.0,0.04874655449254227,26.019223662515376,677.0
62,1312.0,0.04876795049700125,26.076809620810597,680.0
63,984.0,0.04871802648660033,26.1725046566048,685.0
64,656.0,0.04861817846579942,26.30589287593181,692.0
65,328.0,0.04857538645688416,26.476404589747453,701.0
66,1620.0,-0.037076253313437,28.0178514522438,785.0
67,1296.0,-0.0370545931607746,28.071337695236398,788.0
68,972.0,-0.03710513351698272,28.160255680657446,793.0
69,648.0,-0.037206214229397475,28.284271247461902,800.0
70,324.0,-0.037249534534718944,28.442925306655784,809.0
71,1600.0,-0.125044631314562,30.01666203960727,901.0
72,1280.0,-0.12502270040999583,30.066592756745816,904.0
73,960.0,-0.12507387252065563,30.14962686336267,909.0
74,640.0,-0.12517621674197565,30.265491900843113,916.0
75,320.0,-0.12522007855111233,30.4138126514911,925.0
76,1580.0,-0.19751766511716065,32.01562118716424,1025.0
77,1264.0,-0.1993942842929394,32.0624390837628,1028.0
78,948.0,-0.20261081696306552,32.14031735997639,1033.0
79,632.0,-0.20271445668085925,32.2490309931942,1040.0
80,316.0,-0.21541772494766864,32.38826948140329,1049.0
81,1560.0,-0.2872343548892676,34.0147027033899,1157.0
82,1248.0,-0.2884939760747704,34.058772731852805,1160.0
83,936.0,-0.2906833176590973,34.132096331752024,1165.0
84,624.0,-0.2950620008277524,34.23448553724738,1172.0
85,312.0,-0.30792813150823867,34.36568055487916,1181.0
86,1540.0,-0.3714887567462631,36.013886210738214,1297.0
87,1232.0,-0.3766610324212361,36.05551275463989,1300.0
88,924.0,-0.3810434157758078,36.124783736376884,1305.0
89,616.0,-0.3833143561969855,36.22154055254967,1312.0
90,308.0,-0.40284140577168104,36.345563690772494,1321.0
91,1520.0,-0.468487213897885,38.01315561749642,1445.0
92,1216.0,-0.47043791014638814,38.05259518088089,1448.0
93,912.0,-0.4737814112113788,38.118237105091836,1453.0
94,608.0,-0.4804684133413734,38.2099463490856,1460.0
95,304.0,-0.5002523977788987,38.3275357934736,1469.0
96,1500.0,-0.5680722965735499,40.01249804748511,1601.0
97,1200.0,-0.5700490021053667,40.049968789001575,1604.0
98,900.0,-0.5734370831845544,40.11234224026316,1609.0
99,600.0,-0.5802132453429466,40.19950248448356,1616.0
100,300.0,-0.600261016239641,40.311288741492746,1625.0
101,1480.0,-0.656834688938461,42.01190307520001,1765.0
102,1184.0,-0.6554595619492648,42.04759208325728,1768.0
103,888.0,-0.6577672463219242,42.1070065428546,1773.0
104,592.0,-0.6691397045831151,42.190046219457976,1780.0
105,296.0,-0.6894583913027401,42.2965719651132,1789.0
106,1460.0,-0.7014512914451421,44.01136216933077,1937.0
107,1168.0,-0.7021122228157161,44.04543109109048,1940.0
108,876.0,-0.7078763454960406,44.10215414239989,1945.0
109,584.0,-0.7194045908566965,44.181444068749045,1952.0
110,292.0,-0.7400016157505638,44.28317965096906,1961.0
111,1440.0,-0.6973047816041061,46.010868281309364,2117.0
112,1152.0,-0.6979748925770445,46.04345773288535,2120.0
113,864.0,-0.7038190725168173,46.09772228646444,2125.0
114,576.0,-0.7155074323963736,46.17358552246078,2132.0
115,288.0,-0.7363905270804327,46.2709412050371,2141.0
116,1420.0,-0.6930414686689519,48.010415536631214,2305.0
117,1136.0,-0.6937210178246075,48.041648597857254,2308.0
118,852.0,-0.6996475101578975,48.093658625644196,2313.0
119,568.0,-0.7115004948244922,48.16637831516918,2320.0
120,284.0,-0.7326777176026924,48.25971404805462,2329.0
121,1400.0,-0.6843403447736108,50.00999900019995,2501.0
122,1120.0,-0.6857489354442111,50.039984012787215,2504.0
123,840.0,-0.690561202503918,50.08991914547278,2509.0
124,560.0,-0.7001857366233488,50.15974481593781,2516.0
125,280.0,-0.7216654911555224,50.24937810560445,2525.0
126,1380.0,-0.650575215341077,52.009614495783374,2705.0
127,1104.0,-0.6520042203692221,52.03844732503075,2708.0
128,828.0,-0.656886230429794,52.08646657242167,2713.0
129,552.0,-0.6666502505509588,52.15361924162119,2720.0
130,276.0,-0.6884413058734524,52.23983154643591,2729.0
131,1360.0,-0.6158169938664099,54.00925846556311,2917.0
132,1088.0,-0.6172670136743806,54.037024344425184,2920.0
133,816.0,-0.6222208180005487,54.08326913195984,2925.0
134,544.0,-0.6321284266529101,54.147945482723536,2932.0
135,272.0,-0.6542399386713215,54.230987451824994,2941.0
136,1340.0,-0.5712121910975532,56.00892785976178,3137.0
137,1072.0,-0.57230808167213,56.0357029044876,3140.0
138,804.0,-0.576709537842842,56.08029957123981,3145.0
139,536.0,-0.585512450184283,56.142675390472796,3152.0
140,268.0,-0.6041962715693506,56.22277118748239,3161.0
141,1320.0,-0.504106360759811,58.008620049092706,3365.0
142,1056.0,-0.5052188557370313,58.034472514187634,3368.0
143,792.0,-0.5096870006376115,58.077534382926416,3373.0
144,528.0,-0.5186232904387695,58.137767414994535,3380.0
145,264.0,-0.5375902000266372,58.215118311311535,3389.0
146,1300.0,-0.4349357356424418,60.00833275470999,3601.0
147,1040.0,-0.4360653459270109,60.03332407921454,3604.0
148,780.0,-0.440602231518371,60.07495318350236,3609.0
149,520.0,-0.44967600270108427,60.13318551349163,3616.0
150,260.0,-0.46893471089799493,60.207972893961475,3625.0
151,1280.0,-0.37619186771277524,62.00806399170998,3845.0
152,1024.0,-0.3765523569566341,62.03224967708329,3848.0
153,768.0,-0.3798488460496682,62.07253821135398,3853.0
154,512.0,-0.38644182423572837,62.12889826803627,3860.0
155,256.0,-0.39813373773408145,62.20128616033595,3869.0
156,1260.0,-0.3027949609560264,64.00781202322104,4097.0
157,1008.0,-0.3031611722513721,64.03124237432849,4100.0
158,756.0,-0.3065099865681031,64.07027391856539,4105.0
159,504.0,-0.31320761520155843,64.1248781675256,4112.0
160,252.0,-0.3250851146284572,64.19501538281614,4121.0
161,1240.0,-0.22703041204583144,66.007575322837,4357.0
162,992.0,-0.22740252997497107,66.03029607687671,4360.0
163,744.0,-0.23080535742583858,66.06814663663572,4365.0
164,496.0,-0.23761101232757667,66.12110101926616,4372.0
165,248.0,-0.24968008432587707,66.18912297349165,4381.0
166,1220.0,-0.1487817795648045,68.00735254367721,4625.0
167,976.0,-0.1491599977878633,68.0294054067798,4628.0
168,732.0,-0.15261860929530383,68.06614430096654,4633.0
169,488.0,-0.1595358323101844,68.11754546370561,4640.0
170,244.0,-0.1718027579478035,68.18357573492314,4649.0
171,1200.0,-0.06792485933441036,70.00714249274856,4901.0
172,960.0,-0.06830938119451993,70.02856560004639,4904.0
173,720.0,-0.0718256362270837,70.06425622241343,4909.0
174,480.0,-0.07885814629221428,70.11419257183242,4916.0
175,240.0,-0.09132952069046091,70.178344238091,4925.0
176,1180.0,0.01567297344616699,72.00694410957877,5185.0
177,944.0,0.015281934266394242,72.02777242147643,5188.0
178,708.0,0.011706081690904322,72.06247289678588,5193.0
179,472.0,0.004554376539923843,72.11102550927978,5200.0
180,236.0,-0.0081283770854118,72.17340230306452,5209.0
181,1160.0,0.1021534901157266,74.00675644831355,5477.0
182,928.0,0.1017557088811307,74.02702209328699,5480.0
183,696.0,0.09811820367502914,74.06078584514209,5485.0
184,464.0,0.09084319326282521,74.10802925459562,5492.0
185,232.0,0.07794177147153578,74.16872656315464,5501.0
186,1140.0,0.16359685303061627,76.00657866263946,5777.0
187,912.0,0.16494656554339038,76.02631123499285,5780.0
188,684.0,0.1641693650656824,76.05918747922567,5785.0
189,456.0,0.16261496411026524,76.10519036176179,5792.0
190,228.0,0.1670319252410078,76.16429609731846,5801.0
191,1120.0,0.25580745743095523,78.00640999302557,6085.0
192,896.0,0.257181271952885,78.02563681252464,6088.0
193,672.0,0.2563901928952173,78.05767098754612,6093.0
194,448.0,0.2548080347798831,78.10249675906654,6100.0
195,224.0,0.25930387021653206,78.16009211867653,6109.0
196,1100.0,0.33682500383352915,80.00624975587844,6401.0
197,880.0,0.3391329324816299,80.02499609497022,6404.0
198,660.0,0.3398426963022258,80.05623023850174,6409.0
199,440.0,0.34126222394342226,80.09993757800315,6416.0
200,220.0,0.35493115864571195,80.15609770940699,6425.0
201,1080.0,0.43565874452282316,82.00609733428362,6725.0
202,864.0,0.43800941259033194,82.02438661763951,6728.0
203,648.0,0.43873232018538616,82.05485969764375,6733.0
204,432.0,0.44017813537549044,82.09750300709517,6740.0
205,216.0,0.4541001984981949,82.15229759416349,6749.0
206,1060.0,0.5382220603324654,84.00595217006948,7057.0
207,848.0,0.5406170806276653,84.02380615040002,7060.0
208,636.0,0.5413536279886629,84.0535543567314,7065.0
209,424.0,0.5428267227106576,84.09518416651456,7072.0
210,212.0,0.5570114662696395,84.1486779456457,7081.0
211,1040.0,0.6178057162177546,86.00581375697809,7397.0
212,832.0,0.6183236229641131,86.02325267042627,7400.0
213,624.0,0.6222796207498338,86.05230967266364,7405.0
214,416.0,0.6301916163212725,86.09297300012354,7412.0
215,208.0,0.6446491434102333,86.14522621712709,7421.0
216,1020.0,0.6495273969279065,88.0056816347672,7745.0
217,816.0,0.650055458708508,88.02272433866155,7748.0
218,612.0,0.6540890250782617,88.05112151472007,7753.0
219,408.0,0.6621561578177677,88.09086218218096,7760.0
220,204.0,0.6768971658300414,88.14193099768123,7769.0
221,1000.0,0.6825179448664644,90.00555538409837,8101.0
222,800.0,0.6830565678826785,90.0222194794152,8104.0
223,600.0,0.6871708055798269,90.0499861188218,8109.0
224,400.0,0.6953992809741227,90.08884503644167,8116.0
225,200.0,0.7104351091466417,90.13878188659973,8125.0
226,980.0,0.7004131333280792,92.00543462209176,8465.0
227,784.0,0.699421319358182,92.02173656261873,8468.0
228,588.0,0.7044758706969464,92.04890004774636,8473.0
229,392.0,0.7145849733744739,92.0869154657707,8480.0
230,196.0,0.7247895575412836,92.13576938409967,8489.0
231,960.0,0.6980733892712365,94.00531899844816,8837.0
232,768.0,0.6954873701074739,94.02127418834527,8840.0
233,576.0,0.7015214148229212,94.04786015641186,8845.0
234,384.0,0.7135895042538156,94.08506789071261,8852.0
235,192.0,0.7187615425813446,94.13288479590966,8861.0
236,940.0,0.6913486895617235,96.00520819205592,9217.0
237,752.0,0.6887076487136252,96.02083107326243,9220.0
238,564.0,0.6948700773591888,96.04686356149273,9225.0
239,376.0,0.7071949346503149,96.08329719571451,9232.0
240,188.0,0.7124770163465147,96.13012014972206,9241.0
241,920.0,0.6800140839566444,98.00510190801293,9605.0
242,736.0,0.6789347020448133,98.02040603874276,9608.0
243,552.0,0.6843316116039717,98.04590761474952,9613.0
244,368.0,0.6951254307222867,98.08159868191383,9620.0
245,184.0,0.7059192498406051,98.12746812182611,9629.0
246,900.0,0.6461083545716733,100.00499987500625,10001.0
247,720.0,0.6466600386599431,100.0199980003999,10004.0
248,540.0,0.6512574060621888,100.04498987955368,10009.0
249,360.0,0.6604521408666794,100.07996802557443,10016.0
250,180.0,0.6770026635147659,100.12492197250393,10025.0
251,880.0,0.5926063400531125,102.00490184299969,10405.0
252,704.0,0.5931705624161158,102.0196059588548,10408.0
